"AIRCRAFT","CALLSIGN","DESTINATIONAIRPORT","ICAO24","ID","LASTOBSERVATION","ORIGINAIRPORT","ORIGINCOUNTRY","SPOTTEDDATE","SPOTTEDPL","UUID"
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","42","2022-05-03 22:40:14.735","","United States","2022-05-03 22:40:14.735","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","43","2022-05-03 22:45:32.316","","United States","2022-05-03 22:45:32.316","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","44","2022-05-03 22:50:44.468","","United States","2022-05-03 22:50:44.468","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","45","2022-05-03 22:50:44.469","","United States","2022-05-03 22:50:44.469","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","46","2022-05-03 22:53:23.861","","United States","2022-05-03 22:53:23.861","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","47","2022-05-03 22:53:23.861","","United States","2022-05-03 22:53:23.861","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","48","2022-05-03 22:58:47.592","","United States","2022-05-03 22:58:47.592","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","49","2022-05-03 22:58:47.592","","United States","2022-05-03 22:58:47.592","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","50","2022-05-03 23:09:26.359","","United States","2022-05-03 23:09:26.359","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","51","2022-05-03 23:14:57.39","","United States","2022-05-03 23:14:57.39","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","52","2022-05-03 23:20:29.025","","United States","2022-05-03 23:20:29.025","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","53","2022-05-03 23:25:49.727","","United States","2022-05-03 23:25:49.727","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","54","2022-05-03 23:31:10.47","","United States","2022-05-03 23:31:10.47","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","55","2022-05-03 23:36:27.932","","United States","2022-05-03 23:36:27.932","true",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CKS9745 ","","a98edc","56","2022-05-03 23:41:45.554","","United States","2022-05-03 23:41:45.554","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","GTI9130 ","RKSI","a5fff9","57","2022-05-04 01:44:54.647","EPRZ","United States","2022-05-04 01:44:54.647","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","GTI9130 ","RKSI","a5fff9","58","2022-05-04 01:50:00.876","EPRZ","United States","2022-05-04 01:50:00.876","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","GTI9130 ","RKSI","a5fff9","59","2022-05-04 01:54:32.478","EPRZ","United States","2022-05-04 01:54:32.478","true",""
"reg: N471MC, hex: A5C5E7, airline: Atlas Air, model: B744","GTI8578 ","","a5c5e7","60","2022-05-04 12:28:01.472","EPRZ","United States","2022-05-04 12:28:01.472","true",""
"reg: N471MC, hex: A5C5E7, airline: Atlas Air, model: B744","GTI8578 ","","a5c5e7","61","2022-05-04 12:35:28.221","EPRZ","United States","2022-05-04 12:35:28.221","true",""
"reg: N471MC, hex: A5C5E7, airline: Atlas Air, model: B744","GTI8578 ","","a5c5e7","62","2022-05-04 12:41:14.264","EPRZ","United States","2022-05-04 12:41:14.264","true",""
"reg: N471MC, hex: A5C5E7, airline: Atlas Air, model: B744","GTI8578 ","","a5c5e7","63","2022-05-04 12:46:47.518","EPRZ","United States","2022-05-04 12:46:47.518","true",""
"reg: 9V-SFO, hex: 76CCCF, airline: Singapore Airlines, model: B747-412F","SIA7363 ","WSSS","76cccf","64","2022-05-04 13:14:55.502","OMSJ","Singapore","2022-05-04 13:14:55.502","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","65","2022-05-04 13:20:47.84","CYYR","United States","2022-05-04 13:20:47.84","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","67","2022-05-04 13:32:52.551","CYYR","United States","2022-05-04 13:32:52.551","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","68","2022-05-04 13:42:04.304","CYYR","United States","2022-05-04 13:42:04.304","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","69","2022-05-04 13:48:00.303","CYYR","United States","2022-05-04 13:48:00.303","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","70","2022-05-04 13:53:53.669","CYYR","United States","2022-05-04 13:53:53.669","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","71","2022-05-04 13:59:46.09","CYYR","United States","2022-05-04 13:59:46.09","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","72","2022-05-04 14:05:40.617","CYYR","United States","2022-05-04 14:05:40.617","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","","a9876e","73","2022-05-04 14:11:26.484","CYYR","United States","2022-05-04 14:11:26.484","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","EPRZ","a9876e","74","2022-05-04 14:17:15.783","CYYR","United States","2022-05-04 14:17:15.783","true",""
"reg: D-ABVX, hex: 3C4AD8, airline: Lufthansa, model: B747-430","DLH754  ","VOBL","3c4ad8","75","2022-05-04 14:22:52.317","EDDF","Germany","2022-05-04 14:22:52.317","true",""
"reg: N713CK, hex: A9876E, airline: ALS, model: B744","CMB315  ","EPRZ","a9876e","76","2022-05-04 14:22:52.317","CYYR","United States","2022-05-04 14:22:52.317","true",""
"reg: D-ABVX, hex: 3C4AD8, airline: Lufthansa, model: B747-430","DLH754  ","VOBL","3c4ad8","77","2022-05-04 14:28:34.509","EDDF","Germany","2022-05-04 14:28:34.509","true",""
"reg: D-ABVY, hex: 3C4AD9, airline: Lufthansa, model: B747-430","DLH756  ","VABB","3c4ad9","78","2022-05-04 14:44:11.848","EDDF","Germany","2022-05-04 14:44:11.848","true",""
"reg: D-ABVY, hex: 3C4AD9, airline: Lufthansa, model: B747-430","DLH756  ","VABB","3c4ad9","79","2022-05-04 14:49:22.268","EDDF","Germany","2022-05-04 14:49:22.268","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","80","2022-05-04 15:35:40.579","KBGR","United States","2022-05-04 15:35:40.579","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","81","2022-05-04 15:35:40.579","EPRZ","United States","2022-05-04 15:35:40.579","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","82","2022-05-04 15:41:04.081","KBGR","United States","2022-05-04 15:41:04.081","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","83","2022-05-04 15:41:04.081","EPRZ","United States","2022-05-04 15:41:04.081","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","84","2022-05-04 15:46:29.688","KBGR","United States","2022-05-04 15:46:29.688","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","85","2022-05-04 15:46:29.688","EPRZ","United States","2022-05-04 15:46:29.688","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","86","2022-05-04 15:57:19.042","KBGR","United States","2022-05-04 15:57:19.042","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","87","2022-05-04 15:57:19.042","EPRZ","United States","2022-05-04 15:57:19.042","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","88","2022-05-04 16:02:35.003","KBGR","United States","2022-05-04 16:02:35.003","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","89","2022-05-04 16:02:35.004","EPRZ","United States","2022-05-04 16:02:35.004","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","90","2022-05-04 16:07:53.853","KBGR","United States","2022-05-04 16:07:53.853","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","91","2022-05-04 16:07:53.853","EPRZ","United States","2022-05-04 16:07:53.853","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","92","2022-05-04 16:13:19.971","KBGR","United States","2022-05-04 16:13:19.971","true",""
"reg: N574UP, hex: A75F15, airline: UPS, model: B747-44AFSCD","UPS1543 ","","a75f15","93","2022-05-04 16:13:19.973","EPRZ","United States","2022-05-04 16:13:19.973","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","94","2022-05-04 16:18:50.105","KBGR","United States","2022-05-04 16:18:50.105","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","95","2022-05-04 16:24:18.914","KBGR","United States","2022-05-04 16:24:18.914","true",""
"reg: N756CA, hex: AA3086, airline: National Airlines, model: null","CMB325  ","","aa3086","96","2022-05-04 16:29:37.939","KBGR","United States","2022-05-04 16:29:37.939","true",""
"reg: N743CK, hex: A9FDEB, airline: ALS, model: B747-446BCF","CKS9744 ","","a9fdeb","97","2022-05-04 23:03:46.097","EPRZ","United States","2022-05-04 23:03:46.097","true",""
"reg: A7-BGB, hex: 06A2C9, airline: Qatar Airways, model: B747-83QF","QTR60X  ","OTHH","06a2c9","98","2022-05-04 23:03:46.097","EHAM","Qatar","2022-05-04 23:03:46.097","true",""
"reg: N743CK, hex: A9FDEB, airline: ALS, model: B747-446BCF","CKS9744 ","","a9fdeb","99","2022-05-04 23:09:21.318","EPRZ","United States","2022-05-04 23:09:21.318","true",""
"reg: A7-BGB, hex: 06A2C9, airline: Qatar Airways, model: B747-83QF","QTR60X  ","OTHH","06a2c9","100","2022-05-04 23:09:21.318","EHAM","Qatar","2022-05-04 23:09:21.318","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","101","2022-05-04 23:34:24.374","EHAM","Azerbaijan","2022-05-04 23:34:24.374","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","102","2022-05-04 23:35:07.931","EHAM","Azerbaijan","2022-05-04 23:35:07.931","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","103","2022-05-04 23:40:23.712","EHAM","Azerbaijan","2022-05-04 23:40:23.712","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","104","2022-05-04 23:42:28.463","EHAM","Azerbaijan","2022-05-04 23:42:28.463","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","105","2022-05-04 23:44:08.813","EHAM","Azerbaijan","2022-05-04 23:44:08.813","true",""
"reg: 4K-SW888, hex: 600B21, airline: Silk Way West, model: B747-4R7F","AZG212  ","","600b21","106","2022-05-04 23:45:27.593","EHAM","Azerbaijan","2022-05-04 23:45:27.593","true",""
"reg: N936CA, hex: ACFC26, airline: National Airlines, model: null","CMB318  ","","acfc26","107","2022-05-05 02:35:07.845","KDOV","United States","2022-05-05 02:35:07.845","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","108","2022-05-05 13:00:36.071","KBGR","United States","2022-05-05 13:00:36.071","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","109","2022-05-05 13:06:13.542","KBGR","United States","2022-05-05 13:06:13.542","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","110","2022-05-05 13:11:46.176","KBGR","United States","2022-05-05 13:11:46.176","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","111","2022-05-05 13:17:31.592","KBGR","United States","2022-05-05 13:17:31.592","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","112","2022-05-05 13:23:26.393","KBGR","United States","2022-05-05 13:23:26.393","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","113","2022-05-05 13:29:15.247","KBGR","United States","2022-05-05 13:29:15.247","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","114","2022-05-05 13:35:02.519","KBGR","United States","2022-05-05 13:35:02.519","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","115","2022-05-05 13:40:50.145","KBGR","United States","2022-05-05 13:40:50.145","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","116","2022-05-05 13:46:33.643","KBGR","United States","2022-05-05 13:46:33.643","true",""
"reg: VQ-BVB, hex: 4243C3, airline: Silk Way West, model: B747-83QF","AZG4962 ","UBBB","4243c3","117","2022-05-05 13:52:03.116","KORD","United Kingdom","2022-05-05 13:52:03.116","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB324  ","","acb84d","118","2022-05-05 13:52:03.116","KBGR","United States","2022-05-05 13:52:03.116","true",""
"reg: VQ-BVB, hex: 4243C3, airline: Silk Way West, model: B747-83QF","AZG4962 ","UBBB","4243c3","119","2022-05-05 14:02:40.995","KORD","United Kingdom","2022-05-05 14:02:40.995","true",""
"reg: N452PA, hex: A57AD0, airline: Atlas Air, model: B747-46NF","GTI8185 ","RKSI","a57ad0","120","2022-05-05 16:08:34.643","EHAM","United States","2022-05-05 16:08:34.643","true",""
"reg: N452PA, hex: A57AD0, airline: Atlas Air, model: B747-46NF","GTI8185 ","RKSI","a57ad0","121","2022-05-05 16:13:47.545","EHAM","United States","2022-05-05 16:13:47.545","true",""
"reg: N452PA, hex: A57AD0, airline: Atlas Air, model: B747-46NF","GTI8185 ","RKSI","a57ad0","122","2022-05-05 16:19:01.059","EHAM","United States","2022-05-05 16:19:01.059","true",""
"reg: N452PA, hex: A57AD0, airline: Atlas Air, model: B747-46NF","GTI8185 ","RKSI","a57ad0","123","2022-05-05 16:24:09.707","EHAM","United States","2022-05-05 16:24:09.707","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB557  ","","acb84d","124","2022-05-05 17:45:03.982","EPRZ","United States","2022-05-05 17:45:03.982","true",""
"reg: N919CA, hex: ACB84D, airline: National Airlines, model: B747-428BCF","CMB557  ","","acb84d","125","2022-05-05 17:50:43.543","EPRZ","United States","2022-05-05 17:50:43.543","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","126","2022-05-05 23:48:23.119","EDFH","United States","2022-05-05 23:48:23.119","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","127","2022-05-05 23:53:31.75","EDFH","United States","2022-05-05 23:53:31.75","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","128","2022-05-05 23:58:40.865","EDFH","United States","2022-05-05 23:58:40.865","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","129","2022-05-06 00:04:05.755","EDFH","United States","2022-05-06 00:04:05.755","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","130","2022-05-06 00:09:10.784","EDFH","United States","2022-05-06 00:09:10.784","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","131","2022-05-06 00:14:15.614","EDFH","United States","2022-05-06 00:14:15.614","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","132","2022-05-06 00:19:20.322","EDFH","United States","2022-05-06 00:19:20.322","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","133","2022-05-06 00:24:25.052","EDFH","United States","2022-05-06 00:24:25.052","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","134","2022-05-06 00:29:30.04","EDFH","United States","2022-05-06 00:29:30.04","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","","a4dca4","135","2022-05-06 00:34:35.329","EDFH","United States","2022-05-06 00:34:35.329","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","EPRZ","a4dca4","136","2022-05-06 00:39:40.103","EDFH","United States","2022-05-06 00:39:40.103","true",""
"reg: N412MC, hex: A4DCA4, airline: Atlas Air, model: B747-47UF","CMB320  ","EPRZ","a4dca4","137","2022-05-06 00:44:44.938","EDFH","United States","2022-05-06 00:44:44.938","true",""
"reg: LX-VCN, hex: 4D0118, airline: Cargolux, model: B747-8R7F","CLX4485 ","","4d0118","138","2022-05-06 13:01:23.766","ELLX","Luxembourg","2022-05-06 13:01:23.766","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","139","2022-05-06 13:23:47.858","KLCK","United States","2022-05-06 13:23:47.858","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","140","2022-05-06 13:29:52.4","KLCK","United States","2022-05-06 13:29:52.4","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","141","2022-05-06 13:35:48.219","KLCK","United States","2022-05-06 13:35:48.219","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","142","2022-05-06 13:41:50.332","KLCK","United States","2022-05-06 13:41:50.332","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","143","2022-05-06 13:47:36.077","KLCK","United States","2022-05-06 13:47:36.077","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","144","2022-05-06 14:08:36.082","KLCK","United States","2022-05-06 14:08:36.082","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","145","2022-05-06 14:14:11.232","KLCK","United States","2022-05-06 14:14:11.232","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","146","2022-05-06 14:19:46.279","KLCK","United States","2022-05-06 14:19:46.279","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","","a96b14","147","2022-05-06 14:25:18.807","KLCK","United States","2022-05-06 14:25:18.807","true",""
"reg: N706CK, hex: A96B14, airline: ALS, model: B744","CMB329  ","EPRZ","a96b14","148","2022-05-06 14:30:43.731","KLCK","United States","2022-05-06 14:30:43.731","true",""
"reg: D-ABYP, hex: 3C4B30, airline: Lufthansa, model: B747-830","DLH760  ","VIDP","3c4b30","149","2022-05-06 14:51:29.795","EDDF","Germany","2022-05-06 14:51:29.795","true",""
"reg: A7-BFZ, hex: 06A30C, airline: Qatar Airways, model: null","QTR60X  ","OTHH","06a30c","150","2022-05-06 14:51:29.795","EHAM","Qatar","2022-05-06 14:51:29.795","true",""
"reg: D-ABYP, hex: 3C4B30, airline: Lufthansa, model: B747-830","DLH760  ","VIDP","3c4b30","151","2022-05-06 14:56:49.91","EDDF","Germany","2022-05-06 14:56:49.91","true",""
"reg: A7-BFZ, hex: 06A30C, airline: Qatar Airways, model: null","QTR60X  ","OTHH","06a30c","152","2022-05-06 14:56:49.911","EHAM","Qatar","2022-05-06 14:56:49.911","true",""
"reg: A7-BFZ, hex: 06A30C, airline: Qatar Airways, model: null","QTR60X  ","OTHH","06a30c","153","2022-05-06 15:02:13.265","EHAM","Qatar","2022-05-06 15:02:13.265","true",""
"reg: A7-BFZ, hex: 06A30C, airline: Qatar Airways, model: null","QTR60X  ","OTHH","06a30c","154","2022-05-06 15:07:31.793","EHAM","Qatar","2022-05-06 15:07:31.793","true",""
"reg: A7-BFZ, hex: 06A30C, airline: Qatar Airways, model: null","QTR60X  ","OTHH","06a30c","155","2022-05-06 15:12:49.321","EHAM","Qatar","2022-05-06 15:12:49.321","true",""
"reg: N702CA, hex: A95C2F, airline: National Airlines, model: null","CMB559  ","","a95c2f","156","2022-05-06 16:05:47.429","","United States","2022-05-06 16:05:47.429","true",""
"reg: B-2092, hex: 780C5C, airline: Air China LTD, model: B777-FFT","CAO1042 ","","780c5c","157","2022-05-07 22:27:35.04","EDDF","China","2022-05-07 22:27:35.04","true",""
"reg: N629UP, hex: A8397C, airline: UPS, model: null","UPS279  ","","a8397c","158","2022-05-09 02:36:07.455","VIDP","United States","2022-05-09 02:36:07.455","true",""
"reg: N629UP, hex: A8397C, airline: UPS, model: null","UPS279  ","","a8397c","159","2022-05-09 02:41:14.002","VIDP","United States","2022-05-09 02:41:14.002","true",""
"reg: N629UP, hex: A8397C, airline: UPS, model: null","UPS279  ","","a8397c","160","2022-05-09 02:46:20.255","VIDP","United States","2022-05-09 02:46:20.255","true",""
"reg: D-ABYM, hex: 3C4B2D, airline: Lufthansa, model: B747-830","DLH760  ","VIDP","3c4b2d","161","2022-05-09 14:51:51.754","EDDF","Germany","2022-05-09 14:51:51.754","true",""
"reg: D-ABYM, hex: 3C4B2D, airline: Lufthansa, model: B747-830","DLH760  ","VIDP","3c4b2d","162","2022-05-09 14:57:07.918","EDDF","Germany","2022-05-09 14:57:07.918","true",""
"reg: A7-BGA, hex: 06A2C8, airline: Qatar Airways, model: B747-87UF","QTR87Q  ","EHAM","06a2c8","163","2022-05-09 16:25:35.505","OTHH","Qatar","2022-05-09 16:25:35.505","true",""
"reg: N481MC, hex: A5ED66, airline: Atlas Air, model: null","CMB118  ","","a5ed66","164","2022-05-09 17:58:50.555","ETAR","United States","2022-05-09 17:58:50.555","true",""
"reg: VQ-BBH, hex: 424407, airline: Silk Way West, model: B747-83QF","AZG4881 ","","424407","165","2022-05-10 00:49:41.785","UBBB","United Kingdom","2022-05-10 00:49:41.785","true",""
"reg: VQ-BBH, hex: 424407, airline: Silk Way West, model: B747-83QF","AZG4881 ","","424407","166","2022-05-10 00:54:49.766","UBBB","United Kingdom","2022-05-10 00:54:49.766","true",""
"reg: B-LJN, hex: 780AA8, airline: Cathay Pacific, model: B747-867F","CPA3625 ","EDDF","780aa8","167","2022-05-11 14:14:17.275","VHHH","China","2022-05-11 14:14:17.275","true",""
"reg: D-ABVZ, hex: 3C4ADA, airline: Lufthansa, model: B747-430","DLH756  ","VABB","3c4ada","168","2022-05-11 14:39:33.826","EDDF","Germany","2022-05-11 14:39:33.826","true",""
"reg: D-ABVZ, hex: 3C4ADA, airline: Lufthansa, model: B747-430","DLH756  ","VABB","3c4ada","169","2022-05-11 14:44:50.439","EDDF","Germany","2022-05-11 14:44:50.439","true",""
"reg: TC-ACM, hex: 4B846D, airline: Qatar Airways, model: B747-428FER","QTR8221 ","EDDF","4b846d","170","2022-05-11 16:30:11.515","OTHH","Turkey","2022-05-11 16:30:11.515","true",""
"reg: TC-ACM, hex: 4B846D, airline: Qatar Airways, model: B747-428FER","QTR8221 ","EDDF","4b846d","171","2022-05-11 16:35:39.79","OTHH","Turkey","2022-05-11 16:35:39.79","true",""
